date,location,lat,lon,temp_max,temp_min,precipitation
2026-03-14,Banjarnegara,-7.351419476719804,109.66178545107115,32.9,21.2,3.3
2026-03-15,Banjarnegara,-7.351419476719804,109.66178545107115,31.6,23.2,15.9
2026-03-16,Banjarnegara,-7.351419476719804,109.66178545107115,31.0,23.2,12.7
2026-03-17,Banjarnegara,-7.351419476719804,109.66178545107115,31.8,22.5,1.4
2026-03-18,Banjarnegara,-7.351419476719804,109.66178545107115,33.1,21.1,0.0
2026-03-19,Banjarnegara,-7.351419476719804,109.66178545107115,30.9,23.0,6.1
2026-03-20,Banjarnegara,-7.351419476719804,109.66178545107115,31.9,23.7,3.5
2026-03-14,Banyumas,-7.453077247874159,109.17450835730416,32.7,22.8,5.2
2026-03-15,Banyumas,-7.453077247874159,109.17450835730416,31.8,24.0,10.2
2026-03-16,Banyumas,-7.453077247874159,109.17450835730416,31.0,24.1,11.4
2026-03-17,Banyumas,-7.453077247874159,109.17450835730416,31.6,24.0,0.1
2026-03-18,Banyumas,-7.453077247874159,109.17450835730416,32.6,22.6,0.0
2026-03-19,Banyumas,-7.453077247874159,109.17450835730416,31.0,24.4,3.8
2026-03-20,Banyumas,-7.453077247874159,109.17450835730416,31.3,24.5,2.2
2026-03-14,Batang,-7.019506282542603,109.87481163055612,28.4,19.2,3.1
2026-03-15,Batang,-7.019506282542603,109.87481163055612,28.5,21.3,0.6
2026-03-16,Batang,-7.019506282542603,109.87481163055612,27.7,21.4,1.4
2026-03-17,Batang,-7.019506282542603,109.87481163055612,28.3,20.9,7.6
2026-03-18,Batang,-7.019506282542603,109.87481163055612,28.4,21.1,1.2
2026-03-19,Batang,-7.019506282542603,109.87481163055612,28.3,20.7,6.0
2026-03-20,Batang,-7.019506282542603,109.87481163055612,27.3,21.1,13.8
2026-03-14,Blora,-7.074820657477023,111.38415854282175,33.5,23.5,0.0
2026-03-15,Blora,-7.074820657477023,111.38415854282175,32.9,24.0,0.5
2026-03-16,Blora,-7.074820657477023,111.38415854282175,32.3,23.9,1.0
2026-03-17,Blora,-7.074820657477023,111.38415854282175,34.2,23.5,3.7
2026-03-18,Blora,-7.074820657477023,111.38415854282175,33.8,23.6,3.0
2026-03-19,Blora,-7.074820657477023,111.38415854282175,33.0,24.6,9.9
2026-03-20,Blora,-7.074820657477023,111.38415854282175,33.7,24.1,5.1
2026-03-14,Boyolali,-7.411020511274247,110.65408785982098,27.1,21.3,8.5
2026-03-15,Boyolali,-7.411020511274247,110.65408785982098,26.2,20.2,18.2
2026-03-16,Boyolali,-7.411020511274247,110.65408785982098,25.0,21.0,25.7
2026-03-17,Boyolali,-7.411020511274247,110.65408785982098,26.2,20.5,9.7
2026-03-18,Boyolali,-7.411020511274247,110.65408785982098,28.0,18.5,2.4
2026-03-19,Boyolali,-7.411020511274247,110.65408785982098,26.7,20.4,9.6
2026-03-20,Boyolali,-7.411020511274247,110.65408785982098,27.1,20.6,7.5
2026-03-14,Brebes,-7.057149621100939,108.92941567696354,31.1,23.5,2.3
